index,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Count,Global_Sales
15914,2006.0,0.0,0.01,0.0,0.0,57.0,19.0,44.0,0.02
10532,2004.0,0.08,0.02,0.0,0.0,63.0,11.0,5.0,0.1
10824,2006.0,0.09,0.0,0.0,0.01,66.0,13.0,6.0,0.1
366,2001.0,1.9,1.13,0.1,0.41,72.0,27.0,48.0,3.53
12247,2009.0,0.0,0.05,0.0,0.01,89.0,15.0,115.0,0.07
9215,1996.0,0.08,0.05,0.0,0.01,83.0,9.0,5.0,0.14
8549,2007.0,0.15,0.0,0.0,0.01,77.0,19.0,12.0,0.16
3284,2014.0,0.21,0.29,0.01,0.1,75.0,23.0,259.0,0.61
3396,2004.0,0.44,0.13,0.0,0.02,90.0,31.0,19.0,0.59
585,2009.0,0.59,1.79,0.01,0.23,90.0,63.0,133.0,2.62
10422,2002.0,0.05,0.04,0.0,0.01,24.0,12.0,27.0,0.1
10992,2009.0,0.08,0.0,0.0,0.01,45.0,10.0,31.0,0.09
4710,2007.0,0.01,0.39,0.0,0.02,96.0,44.0,3606.0,0.41
4655,2003.0,0.15,0.12,0.11,0.04,82.0,33.0,65.0,0.41
6255,2004.0,0.21,0.06,0.0,0.01,66.0,9.0,12.0,0.27
2173,2011.0,0.24,0.52,0.01,0.18,79.0,53.0,114.0,0.95
1735,2003.0,0.76,0.36,0.0,0.05,65.0,23.0,28.0,1.17
10659,2004.0,0.07,0.02,0.0,0.0,69.0,25.0,5.0,0.1
3657,2010.0,0.01,0.45,0.0,0.09,86.0,22.0,1611.0,0.55
2856,2010.0,0.22,0.36,0.02,0.12,81.0,58.0,86.0,0.72
12634,2003.0,0.04,0.01,0.0,0.0,69.0,20.0,10.0,0.06
2753,2009.0,0.41,0.21,0.01,0.1,67.0,53.0,50.0,0.74
8086,2003.0,0.09,0.07,0.0,0.02,59.0,13.0,15.0,0.18
7440,2002.0,0.13,0.04,0.03,0.01,88.0,36.0,102.0,0.21
14533,2005.0,0.01,0.01,0.0,0.0,66.0,16.0,10.0,0.03
10371,2004.0,0.08,0.02,0.0,0.0,37.0,29.0,13.0,0.11
15073,2006.0,0.01,0.01,0.0,0.0,30.0,4.0,5.0,0.02
3437,2010.0,0.36,0.17,0.0,0.05,33.0,6.0,9.0,0.58
3600,2003.0,0.27,0.21,0.0,0.07,91.0,20.0,25.0,0.56
6596,2007.0,0.03,0.15,0.0,0.07,74.0,14.0,9.0,0.25
5827,2007.0,0.28,0.0,0.01,0.02,83.0,38.0,45.0,0.3
7956,2013.0,0.11,0.06,0.0,0.02,86.0,45.0,1543.0,0.19
1693,2008.0,0.09,0.84,0.11,0.15,83.0,19.0,43.0,1.19
2100,2008.0,0.02,0.88,0.0,0.08,91.0,48.0,3450.0,0.98
2214,2014.0,0.56,0.28,0.0,0.09,85.0,28.0,703.0,0.93
8997,2005.0,0.11,0.03,0.0,0.01,59.0,36.0,4.0,0.14
8097,2002.0,0.14,0.04,0.0,0.0,60.0,20.0,16.0,0.18
947,2005.0,1.53,0.05,0.0,0.25,87.0,25.0,36.0,1.84
10693,2008.0,0.09,0.0,0.0,0.01,62.0,19.0,8.0,0.1
2534,2005.0,0.19,0.41,0.0,0.22,66.0,43.0,52.0,0.81
1133,2004.0,1.32,0.09,0.0,0.22,88.0,29.0,35.0,1.62
2002,2005.0,0.86,0.03,0.0,0.14,79.0,30.0,17.0,1.03
2721,2006.0,0.28,0.38,0.0,0.08,81.0,75.0,69.0,0.75
11630,2016.0,0.03,0.04,0.0,0.01,74.0,13.0,24.0,0.08
8641,2006.0,0.14,0.0,0.0,0.01,77.0,53.0,31.0,0.16
7792,2003.0,0.09,0.07,0.0,0.02,66.0,17.0,30.0,0.19
3610,2001.0,0.27,0.21,0.0,0.07,59.0,14.0,17.0,0.56
4688,2007.0,0.27,0.08,0.0,0.07,55.0,31.0,14.0,0.41
6533,2005.0,0.19,0.06,0.0,0.01,88.0,65.0,58.0,0.26
2563,2009.0,0.32,0.39,0.0,0.09,87.0,65.0,110.0,0.8
4372,2010.0,0.42,0.0,0.0,0.03,78.0,13.0,4.0,0.45
10528,2016.0,0.02,0.08,0.0,0.01,77.0,10.0,30.0,0.1
3232,2003.0,0.47,0.13,0.0,0.02,89.0,18.0,14.0,0.62
12253,2008.0,0.06,0.0,0.0,0.0,54.0,37.0,15.0,0.07
6546,2010.0,0.17,0.06,0.0,0.02,53.0,10.0,10.0,0.26
3867,2008.0,0.32,0.03,0.15,0.03,77.0,14.0,30.0,0.52
7394,2003.0,0.16,0.05,0.0,0.01,65.0,5.0,16.0,0.21
1031,2010.0,0.2,0.14,1.35,0.03,78.0,41.0,31.0,1.73
15649,2003.0,0.01,0.0,0.0,0.0,77.0,24.0,12.0,0.02
15160,2010.0,0.0,0.02,0.0,0.0,70.0,17.0,39.0,0.02
11024,2014.0,0.02,0.06,0.0,0.01,70.0,22.0,239.0,0.09
8027,2003.0,0.09,0.07,0.0,0.02,86.0,35.0,26.0,0.18
9500,2015.0,0.0,0.06,0.06,0.01,86.0,20.0,225.0,0.13
12176,2006.0,0.0,0.0,0.07,0.0,73.0,48.0,165.0,0.07
1240,2002.0,1.26,0.05,0.0,0.21,73.0,19.0,26.0,1.51
10656,2009.0,0.09,0.0,0.0,0.01,32.0,4.0,4.0,0.1
3726,2009.0,0.29,0.16,0.04,0.05,71.0,56.0,64.0,0.54
2317,2004.0,0.81,0.05,0.0,0.04,85.0,28.0,14.0,0.9
5728,2011.0,0.08,0.15,0.06,0.03,49.0,30.0,13.0,0.31
127,2012.0,2.64,2.52,0.16,1.12,85.0,41.0,1307.0,6.45
12163,2007.0,0.06,0.0,0.0,0.0,82.0,20.0,20.0,0.07
13110,2000.0,0.0,0.0,0.05,0.0,83.0,12.0,12.0,0.05
1060,2013.0,0.72,0.65,0.04,0.28,94.0,27.0,1863.0,1.69
7183,2004.0,0.16,0.06,0.0,0.0,77.0,21.0,22.0,0.22
3207,2008.0,0.38,0.19,0.0,0.06,80.0,76.0,178.0,0.63
1775,2014.0,0.39,0.57,0.0,0.19,62.0,44.0,164.0,1.15
2419,2002.0,0.42,0.33,0.0,0.11,74.0,14.0,11.0,0.86
7791,2013.0,0.11,0.07,0.0,0.02,23.0,39.0,211.0,0.19
5517,2003.0,0.24,0.09,0.0,0.01,55.0,4.0,6.0,0.33
